RENE_FINAL;ABONO_OFERTADO;CONSUMO_SBIF;EDAD;SEXO_BIN;SCORE;DEUDA_PROM3;PROME_UTILIZACION_3MESES;PROME_LINEA_CREDITO_3MESES;PROME_CANT_INSTITU_3MESES;SUMA_MOROSA_3MESES;Deuda_Char_008;Pago_Char_008
0;276330;2769;82;0;472;2211111;0.546666667;771;2;181;9;9
0;0;1402;53;0;531;1382997;0.916666667;507;1;0;7;12
0;82210;393;51;0;431;383358;1;200;1;45;2;8
0;18880;402;28;0;437;161885;0.853333333;5;2;1;7;9
0;32820;8066;42;1;396;478041;0.796666667;1422;3;16;2;10
1;253360;39861;55;1;422;4817545;0.89;201;5;5591;4;1
0;0;15782;27;0;442;2877277;0.996666667;1964;4;404;5;0
0;0;3722;39;0;544;1380438;0.863333333;3321;4;0;6;7
0;63870;1492;45;1;478;780874;0.26;618;2;120;9;14
0;37840;2510;29;1;406;357009;1;4;2;94;0;2
0;0;995;80;0;560;795637;0.406666667;2871;3;0;7;26
0;35340;1522;30;0;376;357363;1;0;3;103;1;0
0;163365;35889;55;0;424;1501823;0.986666667;7308;4;0;6;6
0;19830;9912;51;0;415;111781;1;0;4;14;3;10
0;29730;1902;34;1;457;131454;0.233333333;0;3;34;8;23
0;0;2003;58;0;539;1141220;0.53;1297;2;0;7;16
0;114750;1259;65;1;433;530249;0.41;0;2;314;5;0
0;41270;5243;33;0;370;640954;1;162;4;1023;0;0
0;33200;343;34;0;476;202871;0.763333333;28;2;228;5;16
0;6070;431;48;0;419;108133;0.6;0;2;33;3;0
0;68990;950;69;0;458;991446;0.98;5;1;0;3;4
0;29736;8186;65;1;516;645799;0.643333333;720;4;0;7;8
0;0;969;63;0;551;363796;0.756666667;721;3;0;9;16
0;74850;27502;28;1;470;2360427;0.996666667;4450;8;0;3;3
0;6520;126;60;1;370;120694;1;0;1;34;1;0
0;34838;1381;76;0;526;697727;0.98;254;2;37;5;14
0;13040;130;56;0;456;121243;0.51;41;1;19;5;0
0;0;344;36;0;553;246539;0.706666667;1345;2;0;5;22
0;37340;3911;31;1;420;544170;1;22;4;435;4;3
0;59490;5291;53;1;474;1984126;0.76;1102;3;96;6;4
0;11980;233;70;0;452;113100;0.066666667;1689;3;50;3;11
0;98080;26970;50;1;439;719340;1;4229;4;1054;2;0
1;0;5473;55;0;500;3070858;0.996666667;913;2;0;2;11
1;5000;3357;52;1;403;85384;0.176666667;1695;2;49;1;0
0;21662;4109;47;0;515;1428606;0.956666667;65;2;0;6;7
0;258080;42338;42;0;366;4911918;1;423;6;2851;0;0
0;55890;2933;63;0;431;2913401;1;0;1;86;5;1
0;51270;2133;47;1;450;2088306;1;0;1;78;5;2
